$0;1776059370638195069;1.15-SNAPSHOT;KIEKER;2c60425710cd;1;false;0;NANOSECONDS;0
$1;1776059502592359263;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639255;1776059502536919539;1776059502592326455;2c60425710cd;1;1
$1;1776059502624209705;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639255;1776059502592459778;1776059502624176693;2c60425710cd;2;1
$1;1776059502643191397;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639255;1776059502624978908;1776059502643154927;2c60425710cd;5;1
$1;1776059502660151800;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639255;1776059502536889858;1776059502660127500;2c60425710cd;0;0
$1;1776059502707244453;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639256;1776059502687993615;1776059502707215043;2c60425710cd;1;1
$1;1776059502731871462;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639256;1776059502707813916;1776059502731839965;2c60425710cd;2;1
$1;1776059502754797351;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639256;1776059502732318882;1776059502754769596;2c60425710cd;5;1
$1;1776059502756626108;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639256;1776059502687969304;1776059502756613675;2c60425710cd;0;0
$1;1776059502939344367;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639257;1776059502908313146;1776059502939303875;2c60425710cd;1;1
$1;1776059502980872940;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639257;1776059502939963202;1776059502980782267;2c60425710cd;2;1
