$0;1776139314968881554;1.15-SNAPSHOT;KIEKER;4c3518970fc5;1;false;0;NANOSECONDS;0
$1;1776139442906202977;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584470;1776139442886739724;1776139442906164013;4c3518970fc5;5;1
$1;1776139442912846262;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584470;1776139442855101574;1776139442912819495;4c3518970fc5;0;0
$1;1776139442935728582;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584471;1776139442915308083;1776139442935705338;4c3518970fc5;1;1
$1;1776139442945912185;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584471;1776139442936104532;1776139442945892070;4c3518970fc5;2;1
$1;1776139442963642877;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584471;1776139442946223019;1776139442963608864;4c3518970fc5;5;1
$1;1776139442966746228;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584471;1776139442915276041;1776139442966734502;4c3518970fc5;0;0
$1;1776139443002717693;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584472;1776139442978343694;1776139443002678211;4c3518970fc5;1;1
$1;1776139443023422709;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584472;1776139443002832972;1776139443023378238;4c3518970fc5;2;1
$1;1776139443060274966;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584472;1776139443023568351;1776139443060238023;4c3518970fc5;5;1
$1;1776139443091407317;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584472;1776139442978316304;1776139443091364828;4c3518970fc5;0;0
